av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,vs,corrected_vs,squared_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,ttr,corrected_ttr,root_ttr,log_ttr,uber_ttr,d,lv,vvi,squared_vv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,punct_mistakes_pp,punct_mistakes_because,punct_mistakes_but,punct_mistakes_compare,million_mistake,class,sum_punct
4.12,6,3,2,1,1,8,202,11.0,25.25,14,13,1,6,12,11,8,0,0,21.86,21.38,25.3,26.57,0.32,0.06,0.11,0.24,0.11,0.51,0.08,0.06,0.34,85,0.42,4.23,5.98,0.84,219.43,0.73,0.42,0.89,7.11,1.89,0.12,0.09,0.14,0.19,0.33,0.04,0.04,0.0,0.0,1.5,0.44,1.22,4,0,7,0,0,0,3,2,0,0,2,0,0,0,0,0,6,0
3.93,8,2,2,0,4,14,245,5.5,17.5,17,14,3,4,12,11,9,2,0,17.15,16.74,19.91,20.38,0.31,0.14,0.24,0.69,0.94,0.54,0.06,0.04,0.36,103,0.42,4.65,6.58,0.84,231.83,0.77,0.42,1.0,17.0,2.92,0.22,0.1,0.13,0.09,0.22,0.0,0.09,0.0,0.09,4.25,0.35,0.65,5,2,10,0,4,3,10,4,0,3,6,0,0,0,0,0,6,0
5.8,9,3,6,3,7,10,273,5.4,27.3,29,19,10,6,10,14,12,3,1,20.0,19.77,28.2,27.33,0.45,0.15,0.14,0.59,0.69,0.71,0.09,0.04,0.16,123,0.45,5.26,7.44,0.86,201.24,0.83,0.45,0.72,18.78,3.06,0.21,0.14,0.1,0.08,0.18,0.05,0.06,0.13,0.04,4.25,0.25,0.75,10,8,5,0,15,9,11,8,2,3,1,3,1,2,0,0,6,6
4.75,7,3,5,1,3,8,174,5.88,21.75,13,10,3,8,11,11,6,5,0,19.0,21.65,26.21,23.71,0.39,0.16,0.17,0.41,0.33,0.55,0.07,0.06,0.32,82,0.47,4.4,6.22,0.85,407.73,0.74,0.47,0.67,5.33,1.63,0.12,0.12,0.12,0.09,0.21,0.02,0.04,0.02,0.02,3.0,0.42,0.67,0,0,7,0,7,2,12,2,0,0,0,0,0,0,0,0,6,0
4.46,9,2,2,2,6,13,282,4.23,21.69,30,20,10,8,11,9,19,0,4,19.75,20.85,26.6,25.08,0.46,0.07,0.0,0.0,0.0,0.76,0.13,0.01,0.1,139,0.49,5.85,8.28,0.87,435.13,0.83,0.49,0.85,19.59,3.13,0.18,0.14,0.14,0.13,0.27,0.03,0.1,0.05,0.07,4.0,0.48,0.78,16,2,10,0,0,4,18,14,4,3,2,0,0,2,0,0,6,2
5.0,8,2,5,5,14,15,327,7.93,21.8,31,11,20,9,8,15,13,4,4,17.79,17.83,23.42,23.5,0.41,0.11,0.08,0.34,0.24,0.76,0.13,0.04,0.07,154,0.47,6.02,8.52,0.87,218.08,0.84,0.47,0.84,26.95,3.67,0.24,0.15,0.11,0.08,0.19,0.04,0.01,0.04,0.04,5.0,0.26,0.82,23,3,9,0,11,4,22,9,1,2,3,0,0,1,0,0,7,1
4.26,8,2,4,5,8,19,355,6.89,18.68,36,22,14,6,17,22,25,3,3,15.5,15.01,19.2,20.67,0.46,0.1,0.1,0.45,0.4,0.76,0.09,0.03,0.12,169,0.48,6.34,8.97,0.87,247.0,0.82,0.48,0.85,28.9,3.8,0.21,0.15,0.16,0.09,0.25,0.04,0.04,0.07,0.03,4.5,0.4,0.62,17,4,7,0,7,5,20,18,4,4,1,1,0,1,0,0,6,2
4.57,7,2,4,2,10,14,328,5.71,23.43,34,21,13,12,11,11,30,2,1,19.31,20.91,26.97,24.77,0.51,0.11,0.14,0.53,0.55,0.7,0.11,0.01,0.17,150,0.46,5.86,8.28,0.86,247.71,0.85,0.46,0.69,13.79,2.63,0.12,0.11,0.17,0.15,0.32,0.04,0.15,0.1,0.07,3.25,0.45,0.83,12,4,15,0,2,3,14,2,1,4,4,0,0,2,0,0,8,2
4.75,8,0,9,5,5,16,335,6.25,20.94,25,15,10,8,18,17,17,2,8,17.2,17.06,23.33,23.53,0.48,0.09,0.02,0.11,0.02,0.76,0.07,0.01,0.16,139,0.41,5.37,7.59,0.85,181.13,0.81,0.41,0.7,19.6,3.13,0.18,0.14,0.12,0.07,0.19,0.04,0.04,0.06,0.04,2.75,0.18,0.55,26,3,3,0,8,5,17,3,0,1,1,0,1,0,0,0,6,1
3.56,5,2,0,0,6,9,176,7.89,19.56,11,7,4,6,9,12,13,0,0,17.75,17.67,23.03,22.88,0.43,0.09,0.07,0.18,0.07,0.67,0.08,0.07,0.18,90,0.51,4.8,6.78,0.87,175.6,0.8,0.51,0.93,13.07,2.56,0.18,0.12,0.17,0.08,0.25,0.08,0.15,0.03,0.08,5.25,0.47,0.47,4,4,3,0,3,4,8,7,1,1,2,0,0,0,0,0,7,0
4.33,7,3,5,0,3,9,211,9.56,23.44,16,13,3,4,10,16,10,4,3,20.12,18.56,23.46,25.38,0.36,0.2,0.0,0.0,0.0,0.6,0.09,0.03,0.28,97,0.46,4.72,6.68,0.85,416.38,0.78,0.46,0.76,9.94,2.23,0.17,0.11,0.15,0.11,0.25,0.0,0.0,0.0,0.07,4.75,0.18,0.94,9,1,6,0,7,6,10,2,0,0,6,0,0,0,0,0,6,0
4.25,6,0,0,0,6,8,236,9.5,29.5,18,12,6,8,15,14,7,0,1,26.86,26.15,31.43,31.57,0.36,0.16,0.26,0.81,1.32,0.61,0.1,0.01,0.28,101,0.43,4.65,6.57,0.84,225.61,0.75,0.43,0.84,13.47,2.6,0.19,0.1,0.12,0.12,0.24,0.05,0.08,0.05,0.03,5.0,0.37,0.68,9,2,6,0,3,4,7,4,0,0,5,0,0,0,0,0,7,0
7.0,11,4,1,1,4,4,170,6.25,42.5,6,1,5,4,14,6,10,2,0,43.67,43.33,53.89,56.33,0.41,0.16,0.25,0.5,0.5,0.68,0.11,0.04,0.18,93,0.55,5.04,7.13,0.88,283.1,0.83,0.55,1.0,8.0,2.0,0.11,0.16,0.17,0.1,0.27,0.05,0.12,0.0,0.0,3.5,0.12,0.88,2,3,4,0,4,1,4,2,0,0,6,0,0,0,0,0,6,0
4.31,9,1,3,4,7,16,277,4.75,17.31,23,11,12,9,13,9,16,2,2,17.27,17.13,21.48,21.4,0.45,0.21,0.13,0.51,0.52,0.65,0.12,0.01,0.22,132,0.48,5.61,7.93,0.87,177.29,0.85,0.48,0.77,18.58,3.05,0.19,0.16,0.1,0.1,0.21,0.01,0.05,0.08,0.01,4.25,0.32,0.48,13,5,3,0,4,6,16,6,1,4,6,0,1,0,0,0,6,1
5.0,9,2,3,6,10,16,336,3.62,21.0,34,20,14,13,12,15,19,4,1,19.33,18.83,24.22,24.53,0.48,0.12,0.15,0.67,0.9,0.71,0.1,0.04,0.16,157,0.47,6.06,8.57,0.87,203.65,0.83,0.47,0.8,25.6,3.58,0.2,0.15,0.12,0.12,0.24,0.02,0.08,0.02,0.02,4.75,0.45,0.55,17,3,8,0,8,9,18,5,1,2,6,0,0,0,0,0,6,0
4.7,6,2,1,0,2,10,241,6.7,24.1,16,15,1,5,15,10,9,1,0,18.78,18.16,22.68,23.67,0.23,0.14,0.09,0.21,0.09,0.43,0.09,0.06,0.43,84,0.35,3.83,5.41,0.81,192.88,0.7,0.35,0.73,5.82,1.71,0.14,0.06,0.11,0.11,0.21,0.21,0.03,0.03,0.0,1.75,0.73,0.82,2,0,11,0,2,0,9,2,0,0,0,0,0,0,0,0,6,0
3.0,6,1,1,1,2,9,172,7.44,19.11,12,9,3,1,13,6,6,1,0,20.25,22.35,24.29,22.62,0.3,0.23,0.4,0.63,0.8,0.55,0.05,0.01,0.39,67,0.39,3.61,5.11,0.82,601.06,0.69,0.39,1.0,5.0,1.58,0.1,0.06,0.13,0.13,0.27,0.04,0.3,0.15,0.0,2.0,0.6,1.8,0,0,6,0,2,2,18,0,0,0,2,0,0,1,0,0,6,1
4.85,8,2,3,2,7,13,271,6.92,20.85,27,18,9,14,13,10,16,2,1,20.17,18.59,23.22,25.33,0.47,0.11,0.07,0.26,0.14,0.7,0.1,0.04,0.16,119,0.44,5.11,7.23,0.85,205.35,0.82,0.44,0.83,19.86,3.15,0.19,0.16,0.12,0.06,0.18,0.03,0.1,0.04,0.03,1.75,0.34,0.72,16,0,5,0,7,4,5,10,5,4,2,0,0,0,0,0,6,0
4.32,10,0,3,6,11,19,379,6.42,19.95,39,19,20,8,14,19,26,1,4,18.61,17.86,23.26,24.39,0.46,0.15,0.1,0.44,0.38,0.69,0.08,0.06,0.17,175,0.46,6.36,8.99,0.87,287.73,0.83,0.46,0.83,29.17,3.82,0.2,0.13,0.15,0.13,0.28,0.05,0.1,0.15,0.02,3.75,0.45,0.6,18,3,11,0,6,1,20,13,1,5,1,1,1,0,0,0,6,2
4.94,7,3,5,7,5,16,349,6.88,21.81,36,25,11,11,14,17,17,3,4,15.13,16.14,22.33,21.07,0.46,0.11,0.08,0.34,0.23,0.74,0.08,0.04,0.14,167,0.48,6.32,8.94,0.87,243.09,0.84,0.48,0.87,29.64,3.85,0.21,0.16,0.13,0.08,0.2,0.06,0.02,0.07,0.04,4.0,0.36,0.59,18,2,15,0,5,2,22,10,2,3,1,0,0,0,0,0,7,0
8.25,12,4,3,1,1,4,138,3.75,34.5,9,7,2,4,13,9,5,2,0,28.0,30.94,39.67,36.0,0.43,0.15,0.25,0.61,0.75,0.59,0.1,0.04,0.27,74,0.54,4.45,6.3,0.87,237.62,0.79,0.54,0.67,5.33,1.63,0.14,0.2,0.1,0.05,0.15,0.0,0.05,0.05,0.02,4.0,0.42,0.5,2,3,5,0,4,1,10,4,0,0,0,0,0,0,0,0,5,0
5.33,9,2,5,1,10,12,259,8.08,21.58,25,13,12,5,13,9,10,1,2,21.36,21.25,26.35,27.09,0.46,0.08,0.06,0.24,0.12,0.7,0.12,0.03,0.15,138,0.53,6.06,8.57,0.89,269.68,0.85,0.53,0.79,21.44,3.27,0.23,0.14,0.1,0.19,0.29,0.04,0.14,0.1,0.02,3.0,0.26,0.53,18,6,8,0,3,6,17,13,4,2,5,0,0,0,0,0,6,0
5.0,9,3,0,2,4,5,134,5.8,26.8,17,12,5,3,8,4,13,0,1,22.75,23.23,27.98,27.25,0.51,0.09,0.12,0.35,0.25,0.69,0.12,0.04,0.15,87,0.65,5.31,7.52,0.91,299.05,0.85,0.65,1.0,16.0,2.83,0.24,0.16,0.16,0.13,0.29,0.03,0.14,0.2,0.0,2.5,0.38,0.75,7,1,3,0,2,4,7,8,2,3,1,0,0,1,0,0,4,1
3.88,7,2,2,2,5,16,275,4.81,17.19,19,16,3,9,17,12,22,0,1,13.6,12.94,17.78,18.87,0.47,0.18,0.08,0.29,0.17,0.65,0.09,0.04,0.22,142,0.52,6.05,8.56,0.88,280.37,0.79,0.52,1.0,24.0,3.46,0.18,0.21,0.15,0.05,0.21,0.05,0.05,0.06,0.04,6.0,0.38,0.46,6,7,9,0,2,2,16,5,1,3,1,1,0,0,0,0,7,1
4.57,7,3,2,2,2,7,143,5.71,20.43,11,8,3,4,5,5,5,0,2,15.33,16.54,22.07,21.0,0.44,0.11,0.12,0.34,0.24,0.73,0.1,0.05,0.12,82,0.57,4.85,6.86,0.89,237.06,0.82,0.57,0.76,9.94,2.23,0.21,0.17,0.11,0.11,0.22,0.1,0.03,0.08,0.03,2.25,0.06,0.65,14,0,1,0,3,4,8,2,0,0,1,0,0,1,0,0,6,1
5.18,9,3,2,4,8,11,311,11.73,28.27,27,12,15,10,16,17,25,1,1,21.5,22.3,29.83,29.7,0.5,0.12,0.06,0.25,0.12,0.74,0.1,0.03,0.13,120,0.39,4.81,6.8,0.83,173.0,0.79,0.39,0.55,9.82,2.22,0.12,0.16,0.08,0.04,0.12,0.01,0.11,0.08,0.0,3.25,0.52,0.42,12,3,7,0,3,1,14,12,3,2,2,0,2,0,0,0,6,2
3.27,4,2,0,0,4,11,230,6.36,20.91,17,14,3,2,13,20,8,1,0,18.3,20.09,24.35,22.1,0.34,0.1,0.15,0.39,0.31,0.63,0.05,0.06,0.26,101,0.44,4.71,6.66,0.85,369.09,0.74,0.44,0.92,11.08,2.35,0.15,0.1,0.18,0.08,0.25,0.07,0.2,0.1,0.07,3.5,0.46,1.0,3,1,15,0,5,0,9,5,0,1,0,0,1,0,0,0,6,1
3.53,6,1,3,4,4,15,233,4.8,15.53,25,17,8,1,13,11,18,2,0,13.86,14.83,19.06,17.79,0.51,0.14,0.05,0.16,0.05,0.64,0.05,0.02,0.29,120,0.52,5.56,7.86,0.88,240.48,0.82,0.52,0.7,9.8,2.21,0.12,0.14,0.16,0.07,0.23,0.02,0.02,0.02,0.02,3.5,0.75,0.5,1,0,12,1,3,6,13,2,0,0,8,0,1,0,1,0,6,2
6.14,8,5,2,6,4,7,217,9.57,31.0,22,11,11,6,17,12,9,1,2,25.17,23.85,31.28,32.33,0.39,0.13,0.11,0.32,0.21,0.72,0.09,0.03,0.16,108,0.5,5.18,7.33,0.87,226.02,0.8,0.5,0.79,11.84,2.43,0.18,0.14,0.12,0.08,0.2,0.06,0.06,0.04,0.02,5.5,0.53,0.63,2,2,14,0,5,4,4,1,0,1,4,0,0,0,0,0,6,0
3.17,4,2,1,1,0,12,190,6.58,15.83,15,14,1,5,7,9,9,1,0,14.82,15.2,17.96,17.27,0.36,0.13,0.17,0.41,0.33,0.59,0.05,0.02,0.34,86,0.45,4.41,6.24,0.85,199.35,0.76,0.45,0.83,8.33,2.04,0.15,0.11,0.13,0.18,0.31,0.03,0.15,0.0,0.06,3.25,0.25,1.0,3,1,9,0,5,1,10,7,0,1,6,0,0,0,0,0,6,0
4.43,7,3,3,0,2,14,271,4.07,19.36,15,13,2,12,23,20,12,4,0,16.46,17.72,23.08,21.31,0.38,0.21,0.2,0.63,0.8,0.61,0.05,0.02,0.32,96,0.35,4.12,5.83,0.81,296.01,0.75,0.35,0.8,12.8,2.53,0.16,0.09,0.1,0.03,0.13,0.0,0.02,0.02,0.0,3.25,0.55,0.25,2,1,4,0,6,11,8,2,0,0,3,0,0,0,0,6,6,0
4.45,7,2,1,0,1,11,205,3.55,18.64,14,13,1,4,20,11,13,0,0,15.2,14.88,18.35,18.8,0.45,0.21,0.0,0.0,0.0,0.61,0.07,0.01,0.31,71,0.35,3.51,4.96,0.8,267.0,0.68,0.35,0.5,3.0,1.22,0.07,0.08,0.09,0.12,0.21,0.04,0.19,0.07,0.07,0.75,0.58,0.58,5,0,4,0,0,1,17,5,1,0,1,0,0,0,0,0,6,0
5.29,9,4,6,0,11,7,244,5.86,34.86,25,14,11,4,9,19,12,5,3,31.33,29.36,35.23,37.0,0.39,0.15,0.05,0.15,0.05,0.66,0.11,0.02,0.2,90,0.37,4.07,5.76,0.82,175.6,0.75,0.37,0.73,11.64,2.41,0.17,0.09,0.11,0.11,0.21,0.02,0.05,0.0,0.09,4.25,0.27,1.14,11,1,6,0,9,3,16,7,2,0,2,0,0,0,0,1,6,0
3.08,6,0,1,3,7,13,242,7.31,18.62,29,17,12,2,7,10,10,1,0,16.83,16.77,22.04,22.33,0.43,0.16,0.11,0.41,0.33,0.71,0.1,0.05,0.14,123,0.51,5.59,7.91,0.88,201.24,0.84,0.51,0.85,19.59,3.13,0.22,0.14,0.1,0.13,0.23,0.03,0.06,0.05,0.05,4.25,0.48,0.74,12,2,5,0,3,4,10,8,3,3,3,0,1,1,0,0,6,2
7.0,12,2,5,11,11,14,385,5.36,27.5,37,16,21,12,17,21,22,2,5,25.54,24.4,30.98,32.85,0.48,0.15,0.18,0.91,1.65,0.76,0.08,0.03,0.14,156,0.41,5.62,7.95,0.85,178.2,0.83,0.41,0.71,25.0,3.54,0.19,0.1,0.13,0.1,0.22,0.01,0.08,0.09,0.03,2.75,0.53,0.27,17,2,9,0,5,6,18,9,2,1,8,0,2,1,0,0,6,3
4.47,9,0,2,6,11,15,372,6.73,24.8,46,27,19,3,16,13,19,0,3,21.0,19.96,25.59,26.86,0.44,0.1,0.12,0.56,0.62,0.71,0.15,0.03,0.12,145,0.39,5.32,7.52,0.84,201.15,0.8,0.39,0.7,19.6,3.13,0.17,0.1,0.09,0.14,0.23,0.01,0.12,0.18,0.11,2.5,0.42,0.98,26,3,10,0,4,9,15,11,3,4,1,0,1,0,0,0,6,1
4.73,11,2,4,5,3,15,300,8.2,20.0,30,21,9,11,18,8,23,0,3,18.79,17.96,23.01,23.64,0.47,0.21,0.08,0.28,0.16,0.65,0.11,0.03,0.21,136,0.45,5.55,7.85,0.86,194.16,0.81,0.45,0.68,11.56,2.4,0.12,0.14,0.19,0.11,0.3,0.03,0.23,0.23,0.03,2.25,0.32,0.92,13,5,16,0,0,6,9,10,2,5,2,0,0,1,0,0,6,1
4.7,9,2,3,0,0,10,197,5.7,19.7,12,12,0,8,16,7,10,3,0,16.22,17.27,21.01,19.78,0.3,0.2,0.2,0.45,0.4,0.52,0.05,0.06,0.37,85,0.43,4.28,6.06,0.84,249.4,0.75,0.43,0.9,8.1,2.01,0.15,0.09,0.17,0.12,0.28,0.0,0.21,0.11,0.08,3.75,0.4,0.8,0,1,11,0,4,0,7,0,0,1,5,0,0,0,0,0,6,0
