4.0,13.64,9.73,13.2,8.8,11.73,9.923,1.182,1.0,0.077,0.0,0.0,0.077,0.0,0.0,0.154,1.182,2.273,2.273,0.182,0.0,0.0,0.091,0.909,4.64,129,1,0,0,11,13,13,0,2,25,25,2,0,0,1,10,2,5,52,
4.58,18.89,14.32,19.36,14.64,17.33,12.235,1.417,1.0,0.118,0.059,0.235,0.118,0.059,0.235,0.0,1.417,2.833,3.667,0.25,0.417,0.083,0.0,1.5,3.83,208,2,1,4,12,17,17,0,0,34,44,3,5,1,0,18,3,7,87,
4.68,20.84,16.16,19.81,15.1,17.41,10.639,1.636,1.029,0.086,0.114,0.257,0.083,0.111,0.25,0.139,1.591,1.273,2.409,0.409,0.682,0.0,0.045,1.5,5.32,383,3,4,9,22,36,35,1,5,28,53,9,15,0,1,33,2,12,105,
4.4,24.36,18.55,25.07,18.71,20.27,11.259,1.8,1.0,0.185,0.111,0.222,0.185,0.111,0.222,0.222,1.8,1.333,2.867,0.2,1.133,0.0,0.6,2.267,6.4,304,5,3,6,15,27,27,0,6,20,43,3,17,0,9,34,3,6,83,
5.5,40.67,34.67,35.2,29.0,30.5,12.2,2.5,1.0,0.133,0.2,0.267,0.133,0.2,0.267,0.2,2.5,5.0,6.0,0.167,0.833,0.0,0.0,2.5,10.17,183,2,3,4,6,15,15,0,3,30,36,1,5,0,0,15,2,12,72,
4.08,20.64,16.64,18.82,14.45,17.92,11.316,1.583,1.0,0.053,0.211,0.053,0.053,0.211,0.053,0.158,1.583,2.5,3.083,0.333,0.083,0.0,0.0,1.25,7.08,215,1,4,1,12,19,19,0,3,30,37,4,1,0,0,15,2,6,72,
4.93,26.74,20.72,28.14,22.57,20.47,14.619,1.4,1.0,0.238,0.048,0.238,0.238,0.048,0.238,0.238,1.4,3.0,3.333,0.133,0.467,0.0,0.0,1.867,4,307,5,1,5,15,21,21,0,5,45,50,2,7,0,0,28,2,9,104,
4.09,19.67,14.84,19.95,14.91,15.35,8.023,1.913,1.0,0.068,0.114,0.136,0.068,0.114,0.136,0.227,1.913,1.304,1.739,0.348,0.478,0.0,0.087,1.696,7,353,3,5,6,23,44,44,0,10,30,40,8,11,0,2,39,2,7,89,
4.88,21.32,16.71,20.14,15.29,19.5,14.182,1.375,1.0,0.0,0.273,0.182,0.0,0.273,0.182,0.182,1.375,3.25,3.625,0.5,0.125,0.0,0.0,1.125,7.5,156,0,3,2,8,11,11,0,2,26,29,4,1,0,0,9,3,7,60,
3.88,20.84,16.6,20.94,16.69,16.06,11.375,1.412,1.043,0.304,0.087,0.261,0.292,0.083,0.25,0.042,1.353,1.824,2.118,0.118,0.353,0.059,0.059,1.588,5.76,273,7,2,6,17,24,23,1,1,31,36,2,6,1,1,27,2,6,76,
5.44,20.42,14.67,20.5,14.75,18.44,11.857,1.556,1.0,0.286,0.071,0.071,0.286,0.071,0.071,0.143,1.556,2.556,3.444,0.556,0.0,0.333,0.0,2.0,5.11,166,4,1,1,9,14,14,0,2,23,31,5,0,3,0,18,4,8,62,
4.56,25.72,20.58,26.12,20.38,21.56,11.412,1.889,1.0,0.176,0.059,0.059,0.176,0.059,0.059,0.059,1.889,4.778,3.444,0.111,0.778,0.0,0.0,1.444,6.33,194,3,1,1,9,17,17,0,1,43,31,1,7,0,0,13,2,8,82,
4.44,19.82,15.7,19.13,15.33,16.31,8.419,1.938,1.033,0.1,0.233,0.133,0.097,0.226,0.129,0.226,1.875,1.25,1.75,0.062,1.062,0.0,0.125,2.062,4.5,261,3,7,4,16,31,30,1,7,20,28,1,17,0,2,33,2,8,66,
4.0,19.18,15.66,19.08,16.0,16.29,14.25,1.143,1.0,0.188,0.062,0.125,0.188,0.062,0.125,0.25,1.143,1.357,2.714,0.071,0.214,0.143,0.0,1.071,5.57,228,3,1,2,14,16,16,0,4,19,38,1,3,2,0,15,3,6,63,
4.46,21.78,17.11,21.61,16.78,17,9.951,1.708,1.025,0.125,0.05,0.275,0.122,0.049,0.268,0.293,1.667,1.792,1.708,0.667,0.875,0.042,0.167,1.792,6.21,408,5,2,11,24,41,40,1,12,43,41,16,21,1,4,43,2,8,122,
