av_depth/t5.05/t4.61/n
max_depth/t8.69/t7.88/n
min_depth/t2.44/t2.23/n
num_acl/t5.22/t3.65/n
num_rel_cl/t3.2/t2.38/n
num_advcl/t6.29/t4.53/n
num_sent/t13.0/t12.43/n
num_tok/t296.11/t251.75/n
av_tok_before_root/t6.4/t5.94/n
av_len_sent/t23.72/t21.21/n
num_cl/t25.19/t22.29/n
num_tu/t16.19/t15.56/n
num_compl_tu/t9.0/t6.73/n
num_coord/t6.69/t6.03/n
num_poss/t16.85/t14.53/n
num_prep/t14.85/t12.58/n
num_adj_noun/t17.95/t14.45/n
num_part_noun/t3.25/t2.2/n
num_noun_inf/t2.3/t1.71/n
pos_sim_nei/t19.83/t17.81/n
pos_sim_all/t20.36/t18.3/n
lemma_sim_all/t26.45/t23.55/n
lemma_sim_nei/t25.8/t22.96/n
density/t0.45/t0.44/n
ls/t0.12/t0.13/n
corrected_vs/t0.31/t0.28/n
lfp_1000/t0.68/t0.67/n
lfp_2000/t0.1/t0.1/n
lfp_uwl/t0.04/t0.04/n
lfp_rest/t0.18/t0.2/n
ndw/t131.64/t111.78/n
corrected_ttr/t5.38/t4.96/n
lv/t0.45/t0.45/n
corrected_vv/t2.82/t2.48/n
vvii/t0.16/t0.16/n
nv/t0.13/t0.13/n
adjv/t0.13/t0.13/n
advv/t0.1/t0.09/n
modv/t0.23/t0.22/n
der_level3/t0.05/t0.04/n
der_level4/t0.07/t0.08/n
der_level5/t0.06/t0.05/n
der_level6/t0.04/t0.04/n
mci/t4.15/t3.39/n
freq_finite_forms/t0.37/t0.42/n
freq_aux/t0.61/t0.64/n
num_inf/t11.51/t9.45/n
num_gerunds/t3.42/t2.33/n
num_pres_sing/t9.1/t7.21/n
num_pres_plur/t0.04/t0.04/n
num_past_part/t6.42/t4.24/n
num_past_simple/t4.13/t3.98/n
num_linkings/t14.36/t11.46/n
num_4grams/t6.18/t6.26/n
num_func_ngrams/t1.11/t1.25/n
num_shell_noun/t2.36/t1.92/n
num_misspelled_tokens/t2.77/t2.54/n
million_mistake/t0.31/t0.25/n
sum_punct/t0.9/t0.97/n
